number,picname,Class,confidence
305,c00305.jpg,Basketball,0.82
306,c00306.jpg,Basketball,1.0
307,c00307.jpg,Basketball,0.97
308,c00308.jpg,Basketball,0.96
317,c00317.jpg,Basketball,0.95
318,c00318.jpg,Basketball,0.99
319,c00319.jpg,Basketball,1.0
320,c00320.jpg,Basketball,1.0
321,c00321.jpg,Basketball,1.0
322,c00322.jpg,Basketball,1.0
323,c00323.jpg,Basketball,1.0
324,c00324.jpg,Basketball,1.0
325,c00325.jpg,Basketball,1.0
326,c00326.jpg,Basketball,1.0
327,c00327.jpg,Basketball,1.0
328,c00328.jpg,Basketball,1.0
329,c00329.jpg,Basketball,1.0
330,c00330.jpg,Basketball,1.0
331,c00331.jpg,Basketball,1.0
332,c00332.jpg,Basketball,1.0
333,c00333.jpg,Basketball,1.0
334,c00334.jpg,Basketball,1.0
335,c00335.jpg,Basketball,1.0
336,c00336.jpg,Basketball,1.0
337,c00337.jpg,Basketball,1.0
338,c00338.jpg,Basketball,1.0
339,c00339.jpg,Basketball,1.0
340,c00340.jpg,Basketball,1.0
341,c00341.jpg,Basketball,1.0
342,c00342.jpg,Basketball,1.0
343,c00343.jpg,Basketball,0.99
344,c00344.jpg,Basketball,1.0
345,c00345.jpg,Basketball,1.0
346,c00346.jpg,Basketball,1.0
347,c00347.jpg,Basketball,0.99
349,c00349.jpg,Made_Shot,1.0
350,c00350.jpg,Made_Shot,1.0
351,c00351.jpg,Made_Shot,1.0
352,c00352.jpg,Made_Shot,1.0
353,c00353.jpg,Made_Shot,1.0
354,c00354.jpg,Made_Shot,1.0
355,c00355.jpg,Made_Shot,1.0
356,c00356.jpg,Made_Shot,1.0
357,c00357.jpg,Made_Shot,1.0
358,c00358.jpg,Made_Shot,1.0
359,c00359.jpg,Made_Shot,1.0
360,c00360.jpg,Made_Shot,1.0
361,c00361.jpg,Made_Shot,1.0
362,c00362.jpg,Made_Shot,1.0
363,c00363.jpg,Made_Shot,1.0
364,c00364.jpg,Made_Shot,1.0
365,c00365.jpg,Made_Shot,1.0
366,c00366.jpg,Made_Shot,1.0
367,c00367.jpg,Made_Shot,0.99
368,c00368.jpg,Basketball,0.99
369,c00369.jpg,Basketball,1.0
370,c00370.jpg,Basketball,1.0
371,c00371.jpg,Basketball,1.0
372,c00372.jpg,Basketball,0.99
373,c00373.jpg,Basketball,1.0
374,c00374.jpg,Basketball,1.0
375,c00375.jpg,Basketball,1.0
376,c00376.jpg,Basketball,1.0
377,c00377.jpg,Basketball,1.0
378,c00378.jpg,Basketball,1.0
379,c00379.jpg,Basketball,1.0
380,c00380.jpg,Basketball,1.0
